CNTR_ID,class,distur_1,area_ha
CZ,0,-1,1843392.7889191853
CZ,1,0,594.2624898986143
CZ,1,0,61.88993947142728
CZ,1,0,6.718726640818054
CZ,1,1,0.0001069353111952
CZ,1,1,669.5431820957184
CZ,1,1,62.13107199672333
CZ,1,1,11.67591201786313
CZ,1,2,1787.8092433177967
CZ,1,2,153.86617623751414
CZ,1,2,34.704108542714486
CZ,2,0,4055.2393042229032
CZ,2,0,458.8918611744119
CZ,2,0,963.7470582139453
CZ,2,1,0.0001604029667941
CZ,2,1,910.731013587393
CZ,2,1,65.10109110032336
CZ,2,1,66.5824501842549
CZ,2,2,0.003978300507797
CZ,2,2,9975.30649129519
CZ,2,2,101.05492346316711
CZ,2,2,35.09754496589121
CZ,6,0,669.2835936736434
CZ,6,0,52.24250671126979
CZ,6,0,92.76726321262178
CZ,6,1,37.58822285969647
CZ,6,1,14.811691958914995
CZ,6,1,23.42464733558708
CZ,6,2,489.73545176127953
CZ,6,2,32.77102139662274
CZ,6,2,11.747503195208015
DE,-999,0,18.58336584231817
DE,0,-1,348204.3169109071
DE,0,-1,23264230.490289208
DE,0,-1,5852991.234713607
DE,0,-1,6130829.64110389
DE,1,0,37349.60012460352
DE,1,0,2936.3236011181443
DE,1,0,278.74839570853294
DE,1,1,0.0042322251527136
DE,1,1,27503.64195119905
DE,1,1,2429.691967998637
DE,1,1,152.6909387420799
DE,1,2,0.038544160059098
DE,1,2,231500.5477665538
DE,1,2,6975.875196361908
DE,1,2,308.1934847718024
DE,2,0,0.0025724882039639
DE,2,0,36638.99103840488
DE,2,0,1652.9370199215152
DE,2,0,1023.7899057252456
DE,2,1,11446.988372337855
DE,2,1,568.9480491700759
DE,2,1,171.8792692509876
DE,2,2,58121.855589744606
DE,2,2,649.3341283225352
DE,2,2,120.92973650911038
DE,3,0,0.0775072148360226
DE,3,0,22608.175425210477
DE,3,0,125.55603783853816
DE,3,0,50.1512362860238
DE,3,1,0.0013295109416738
DE,3,1,8262.966509774651
DE,3,1,58.38523250857791
DE,3,1,11.709236367462347
DE,3,2,0.0438927840184494
DE,3,2,74256.30539140524
DE,3,2,235.8272971390533
DE,3,2,14.272399187445492
DE,4,0,10.881810317012022
DE,4,0,0.0057534665103615
DE,4,0,0.005898517764503
DE,4,1,36.12828641315779
DE,4,1,0.0027614457198688
DE,4,2,24.829583350100616
DE,4,2,0.0928622043989096
DE,4,2,0.0075089027470975
DE,5,0,10697.179416331424
DE,5,0,59559.24019291028
DE,5,0,19.770438854698657
DE,5,0,3.4009724326916286
DE,5,1,0.0005686585824974
DE,5,1,9935.871891872916
DE,5,1,16.8798583624305
DE,5,1,3.477385026452612
DE,5,2,0.0113447824952151
DE,5,2,1797.5499925331858
DE,5,2,30.646030497746413
DE,5,2,6.697478743287354
DE,6,0,34738.20223221888
DE,6,0,6408.071547552511
DE,6,0,18688.991927818533
DE,6,1,1874.3696936594836
DE,6,1,601.6536063432301
DE,6,1,583.582258249351
DE,6,2,9729.85492455248
DE,6,2,760.4820941233088
DE,6,2,380.205242300187
DE,7,0,1519.5143510888267
DE,7,0,326.0256176185535
DK,0,-1,647020.567308875
DK,0,-1,3573076.3097603437
DK,0,-1,483031.0574378528
DK,0,-1,234470.9815567058
DK,1,0,0.001508555051023
DK,1,0,7310.735302954498
DK,1,0,531.798864036022
DK,1,0,46.150644931390445
DK,1,1,0.0039223156262337
DK,1,1,7879.383374604551
DK,1,1,675.4396906926062
DK,1,1,26.797267074376222
DK,1,2,0.0106635367923666
DK,1,2,52711.64734191032
DK,1,2,1954.5909698911585
DK,1,2,78.26530687430568
DK,2,0,0.0052799426785453
DK,2,0,25728.50496362376
DK,2,0,793.6132851259903
DK,2,0,249.7779406958311
DK,2,1,4649.563507146997
DK,2,1,349.12682043153274
DK,2,1,54.724800053201264
DK,2,2,0.0011626283633869
DK,2,2,56598.01840445896
DK,2,2,534.6067673691354
DK,2,2,61.18536389978563
DK,3,0,0.7865670172212984
DK,3,0,30482.601426706933
DK,3,0,362.0968297636648
DK,3,0,58.72300067401179
DK,3,1,0.0185507932510204
DK,3,1,13301.368963841414
DK,3,1,234.93970600519884
DK,3,1,26.86811730495189
DK,3,2,0.0133094243733271
DK,3,2,101354.30176746075
DK,3,2,686.225902787161
DK,3,2,72.32646495379316
DK,4,0,0.0022628325764641
DK,4,0,17.73335991966456
DK,4,0,0.0093867875370825
DK,4,1,16.801121430596485
DK,4,1,0.0327981514264194
DK,4,2,10.640246074475426
DK,4,2,0.063614197284026
DK,4,2,0.0273463986528636
DK,5,0,3209.159785196585
DK,5,0,55975.69719439403
DK,5,0,27.0901029394867
DK,5,0,5.722503503089222
DK,5,1,0.0158013893147928
DK,5,1,15805.358970595002
DK,5,1,13.083469944849773
DK,5,1,2.906488211462083
DK,5,2,3984.307894402529
DK,5,2,43.56268329911081
DK,5,2,9.494002151910864
DK,6,0,0.0030171101020108
DK,6,0,3807.976323987565
DK,6,0,34.136970397876176
DK,6,0,0.679140988651969
DK,6,1,451.0029536700722
DK,6,1,14.385160579068298
DK,6,1,0.1334634190703966
DK,6,2,290.5927178556229
DK,6,2,5.356129743035316
DK,6,2,0.1439943519713786
