distur,distur_label,est_ha,var_ha2,se_ha,ci_lo_ha,ci_hi_ha,n_points_in_cell
-999,all wetlands,41418574.72033651,632488009134.1299,795291.1474008308,39859804.071430884,42977345.36924214,2714
0,least disturbed,32973115.02361678,381181135414.3909,617398.6843316002,31763013.602326844,34183216.44490672,2157
1,intermediately disturbed,2830474.905925486,66494899941.839005,257866.05038631783,2325057.4471683027,3335892.364682669,423
2,most disturbed,5614984.790794236,259071101867.1038,508990.27679033694,4617363.848285175,6612605.733303296,134
