CNTR_ID,region,ref_class,ntilde
AD,Western,0,1.0
AL,SE_Europe,0,80.20565153923708
AL,SE_Europe,3,0.44200754609813975
AL,SE_Europe,4,0.06511326611124162
AL,SE_Europe,6,1.1025552989428404
AL,SE_Europe,7,3.1846723496107003
AT,Central,0,122.84712521299342
AT,Central,1,0.712257418912721
AT,Central,6,26.807005698642023
AT,Central,7,2.633611669451832
BA,SE_Europe,0,62.61192761111332
BA,SE_Europe,1,0.38807238888668005
BE,Western,0,80.68159194799394
BE,Western,1,1.2420854174643094
BE,Western,3,0.022719783891461752
BE,Western,7,0.05360285065029104
BG,SE_Europe,0,151.5226180765364
BG,SE_Europe,1,1.7315959927464786
BG,SE_Europe,4,0.027924787626249663
BG,SE_Europe,7,3.7178611430908743
CH,Central,0,58.95947263831561
CH,Central,1,0.13210079497465851
CH,Central,6,11.993356761103849
CH,Central,7,2.915069805605881
CY,SE_Europe,0,16.0
CZ,Central,0,124.74299748407638
CZ,Central,1,0.703154132357155
CZ,Central,2,2.1001997408465254
CZ,Central,7,4.453648642719926
DE,Central,0,585.7066346635277
DE,Central,1,5.7155848657888315
DE,Central,2,5.128538168113555
DE,Central,3,1.0014659572555926
DE,Central,5,0.12326284967755047
DE,Central,6,5.058456402723709
DE,Central,7,20.26605709291311
DK,Boreal,0,84.44273783084152
DK,Boreal,1,8.364508149567921
DK,Boreal,2,6.266750553596266
DK,Boreal,3,5.939829045257967
DK,Boreal,5,0.4823114652702751
DK,Boreal,6,2.1530601451538933
DK,Boreal,7,7.350802810312171
EE,Boreal,0,94.32148328383664
EE,Boreal,1,4.6659688112454285
EE,Boreal,2,8.654815956182464
EE,Boreal,6,0.9799638164394654
EE,Boreal,7,3.377768132296001
EL,SE_Europe,0,207.79153202933202
EL,SE_Europe,1,0.46998573767741486
EL,SE_Europe,3,1.3382526986800676
EL,SE_Europe,4,1.4842371726378096
EL,SE_Europe,6,3.328523833808074
EL,SE_Europe,7,2.5874685278645977
ES,SW_Europe,0,1260.8716926204957
ES,SW_Europe,1,2.0910578701535947
ES,SW_Europe,3,0.8117888647732514
ES,SW_Europe,4,2.1591321335297593
ES,SW_Europe,5,0.17305356378678116
ES,SW_Europe,6,69.56734262077869
ES,SW_Europe,7,6.3259323264823495
FI,Boreal,0,388.44433607786146
FI,Boreal,1,11.087473661762393
FI,Boreal,2,64.23688268797
FI,Boreal,3,12.4381286107429
FI,Boreal,5,3.609414526011658
FI,Boreal,6,12.748836122352447
FI,Boreal,7,211.43492831329917
FR,Western,0,1042.7985522563565
FR,Western,1,2.176802333098002
FR,Western,3,3.407592564009086
FR,Western,4,2.1311789610608916
FR,Western,5,1.0354688941963797
FR,Western,6,27.568243014870763
FR,Western,7,17.882161976408362
HR,SE_Europe,0,69.00883547820969
HR,SE_Europe,1,2.0514762299485327
HR,SE_Europe,3,0.06397566215878737
HR,SE_Europe,4,0.05015998597614176
HR,SE_Europe,7,6.825552643706844
HU,Central,0,160.23146810766846
HU,Central,1,10.613448033040221
HU,Central,7,6.155083859291315
IE,Western,0,114.87625395988552
IE,Western,1,0.7233042277506433
IE,Western,2,65.98624367984064
IE,Western,3,0.5249698175630486
IE,Western,5,4.050214466989829
IE,Western,6,5.705949122606942
IE,Western,7,15.133064725363392
IS,Boreal,0,94.26654155935556
IS,Boreal,1,6.398544133388538
IS,Boreal,2,4.807926913521882
IS,Boreal,3,1.6566969113818932
IS,Boreal,5,2.1901026464449207
IS,Boreal,6,99.14749528146801
IS,Boreal,7,7.532692554439215
IT,SW_Europe,0,402.50568165717044
IT,SW_Europe,1,2.3449294326134362
IT,SW_Europe,3,0.9807182012389475
IT,SW_Europe,4,0.34438475144908265
IT,SW_Europe,5,0.06862120157181593
IT,SW_Europe,6,17.74496080179498
IT,SW_Europe,7,7.010703954161312
LI,Central,1,1.0
LT,Boreal,0,116.98933334337856
LT,Boreal,1,0.31306930791768806
LT,Boreal,2,1.0919279341839097
LT,Boreal,7,4.605669414519841
LU,Western,0,6.0
LV,Boreal,0,132.72812432306415
LV,Boreal,1,2.0121122191650964
LV,Boreal,2,8.818044892331201
LV,Boreal,7,4.44171856543955
ME,SE_Europe,0,29.899868185343376
ME,SE_Europe,1,0.08586449051773912
ME,SE_Europe,4,0.01426732413888366
MK,SE_Europe,0,43.932208689238706
MK,SE_Europe,1,0.06779131076129535
NL,Western,0,44.68166028426242
NL,Western,1,0.20493375710989367
NL,Western,2,0.6419476999253921
NL,Western,3,0.1791492879170592
NL,Western,5,0.13071979592698696
NL,Western,6,1.4994403148644055
NL,Western,7,2.662148859993837
NO,Boreal,0,235.89590261555858
NO,Boreal,1,0.8286715644005669
