class_id,class_label,sample_based_area_ha,se_ha,ci95_lo_ha,ci95_hi_ha,producer_accuracy,user_accuracy
0,Non-wetland,318179702.16984373,803786.3921795314,316604280.84117186,319755123.4985156,0.9966097183663207,0.9714805368393541
1,Inland marshes,3969838.9176597283,355891.4928516324,3272291.591670529,4667386.243648928,0.8984517502809987,0.788516195720769
2,Peatbogs,12932527.304946398,526683.4096284522,11900227.822074633,13964826.787818164,0.6673470946542597,0.9214674883681381
3,Salt marshes,1102267.1410621642,166682.98146348004,775568.4973937434,1428965.784730585,0.9410488362061744,0.747112183202204
4,Salines,260489.32160384874,82626.10240389727,98542.16089221011,422436.48231548734,0.8129095010598858,0.7752783266480925
5,Intertidal flats,719098.2661986261,102377.30912107343,518438.7403213222,919757.79207593,0.9800908956099371,0.45142996827555637
6,Moors & heathland,22366176.997921564,611476.6279537418,21167682.80713223,23564671.1887109,0.7560973162241507,0.9611055665584038
7,Surface water,19970315.970763966,347045.8932900774,19290106.019915413,20650525.92161252,0.9122221379294265,0.9909930788195845
